Log datetime=2025-02-17 00:13:11 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4231 total = 2 seconds
Log datetime=2025-02-17 00:13:57 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4231 total = 7 seconds
Log datetime=2025-02-17 00:20:54 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4273 total = 8 seconds
Log datetime=2025-02-17 00:23:17 Preprocessed apd_report_319 Failed start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4277 total = 3 seconds
Log datetime=2025-02-17 00:24:12 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4277 total = 5 seconds
Log datetime=2025-02-17 00:26:18 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4272 total = 5 seconds
Log datetime=2025-02-17 00:29:45 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4262 total = 7 seconds
Log datetime=2025-02-17 00:32:21 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4269 total = 9 seconds
Log datetime=2025-02-17 00:36:06 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4269 total = 14 seconds
Log datetime=2025-02-17 00:39:15 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4245 total = 25 seconds
Log datetime=2025-02-17 00:44:44 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4245 total = 17 seconds
Log datetime=2025-02-17 00:50:32 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4250 total = 151 seconds
Log datetime=2025-02-17 01:00:50 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4226 total = 6 seconds
Log datetime=2025-02-17 01:00:59 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4238 total = 8 seconds
Log datetime=2025-02-17 01:01:10 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4248 total = 11 seconds
Log datetime=2025-02-17 01:01:19 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4259 total = 9 seconds
Log datetime=2025-02-17 01:01:27 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4232 total = 7 seconds
Log datetime=2025-02-17 01:01:36 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4237 total = 9 seconds
Log datetime=2025-02-17 01:01:45 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4243 total = 9 seconds
Log datetime=2025-02-17 01:01:58 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4255 total = 12 seconds
Log datetime=2025-02-17 01:02:10 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4240 total = 11 seconds
Log datetime=2025-02-17 01:02:23 Preprocessed apd_report_319 Successful start_date=2020-08-10, end_date=2025-02-13, dashboard_id = 319,query_id=4233 total = 13 seconds
